"SuccessRateMapCode","SuccessRateMapCodeDesc","SuccessRateMapCodeDesc2","EffectiveFrom","EffectiveTo"
"B0220087","GCSE Rural and Agricultural Science","GCSE Rural & Agric Sci","24 Jul 2006",""
"B0220088","GCSE Science","GCSE Sci","24 Jul 2006","31 Jul 2017"
"B0220089","GCSE Applied Science","GCSE Applied Sci","24 Jul 2006",""
"B0220093","GCSE Soil Science","GCSE Soil Sci","24 Jul 2006",""
"B0220094","GCSE Statistics","GCSE Stats","24 Jul 2006",""
"B0220095","GCSE Zoology","GCSE Zoology","24 Jul 2006",""
"B0220096","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0220140","GCSE Applied Chemistry","GCSE Applied Chem","24 Jul 2006",""
"B0220141","GCSE Applied Physical Science","GCSE Applied Phys Sci","24 Jul 2006",""
"B0220142","GCSE Applied Physics","GCSE Applied Phys","24 Jul 2006",""
"B0220143","GCSE Decision Making: S and LSM","GCSE Decision Making S & LSM","24 Jul 2006",""
"B0220144","GCSE Electronic and Computer Science (24255)","GCSE Elec & Comp Sci (24255)","24 Jul 2006",""
"B0220145","GCSE Further Science","GCSE Further Sci","24 Jul 2006",""
"B0220146","GCSE General Science (20815)","GCSE Gen Sci (20815)","24 Jul 2006",""
"B0220147","GCSE Industrial Chemistry","GCSE Ind Chem","24 Jul 2006",""
"B0220148","GCSE Industry; Technology and Society","GCSE Ind; Tech & Soc","24 Jul 2006",""
"B0220149","GCSE Science: Technology","GCSE Sci Tech","24 Jul 2006",""
"B0220150","GCSE Scientific Studies (30645)","GCSE Sci Stud (30645)","24 Jul 2006",""
"B0220151","GCSE Studies in Human Development","GCSE Stud in Human Dev","24 Jul 2006",""
"B0220156","GCSE in Environmental and Land-Based Science","GCSE in Enval & Land-Based Sci","01 Jul 2007",""
"B0220157","GCSE in Environmental Science","GCSE in Enval Sci","11 Dec 2008",""
"B0220160","Higher Diploma in Science (14-19 Diploma)","Hi Dip Sci (14-19 Dip)","01 Nov 2010",""
"B0220161","Principal Learning in Science (14-19 Diploma)","Principal Lrn in Sci (14-19 Dip)","01 Nov 2010",""
"B0230102","GCE A Level in Human Biology","GCE A Lev in Human Biol","24 Jul 2006",""
"B0230107","GCE AS Level in Human Biology","GCE AS Lev in Human Biol","24 Jul 2006",""
"B0230151","GCE A Level Applied Life Sciences","GCE A Lev Applied Life Scis","24 Jul 2006",""
"B0230152","GCE A Level Applied Mathematics","GCE A Lev Applied Maths","24 Jul 2006",""
"B0230154","GCE A Level Applied Statistics","GCE A Lev Applied Stats","24 Jul 2006",""
"B0230155","GCE A Level Astronomy","GCE A Lev Astron","24 Jul 2006",""
"B0230156","GCE A Level Biochemistry","GCE A Lev BioChem","24 Jul 2006",""
"B0230157","GCE A Level Biology","GCE A Lev Biol","24 Jul 2006",""
"B0230159","GCE A Level Botany","GCE A Lev Botany","24 Jul 2006",""
"B0230160","GCE A Level Chemistry","GCE A Lev Chem","24 Jul 2006",""
"B0230161","GCE A Level Earth Sciences:General","GCE A Lev Earth ScisGen","24 Jul 2006",""
"B0230162","GCE A Level Biology Int.Ass. A: Applied Ecology","GCE A Lev Biol Int.Ass. A Applied Ecology","24 Jul 2006",""
"B0230163","GCE A Level Electronics (formerly UCLES)","GCE A Lev Elecs (Frmly UCLES)","24 Jul 2006",""
"B0230164","GCE A Level Further Mathematics","GCE A Lev Further Maths","24 Jul 2006",""
"B0230165","GCE A Level Mathematics","GCE A Lev Maths","24 Jul 2006",""
"B0230166","GCE A Level Geochemistry","GCE A Lev GeoChem","24 Jul 2006",""
"B0230167","GCE A Level Geology","GCE A Lev Geology","24 Jul 2006",""
"B0230168","GCE A Level Geophysics","GCE A Lev GeoPhys","24 Jul 2006",""
"B0230169","GCE A Level Human Biology","GCE A Lev Human Biol","24 Jul 2006",""
"B0230170","GCE A Level Hydrology","GCE A Lev Hydrology","24 Jul 2006",""
"B0230172","GCE A Level in Statistics","GCE A Lev in Stats","24 Jul 2006",""
"B0230173","GCE A Level Further Maths (Pure and Applied)","GCE A Lev Further Maths (Pure & Applied)","24 Jul 2006",""
"B0230176","GCE A Level Mathematics (Pure and Statistics)","GCE A Lev Maths (Pure & Stats)","24 Jul 2006",""
"B0230177","GCE A Level Mathematics (Pure)","GCE A Lev Maths (Pure)","24 Jul 2006",""
"B0230178","GCE A Level Mechanics","GCE A Lev Mechanics","24 Jul 2006",""
"B0230179","GCE A Level Meteorology","GCE A Lev Meteorology","24 Jul 2006",""
"B0230180","GCE A Level Natural History","GCE A Lev Ntrl Hist","24 Jul 2006",""
"B0230181","GCE A Level Oceanography","GCE A Lev OceanoGrphy","24 Jul 2006",""
"B0230182","GCE A Level Physics","GCE A Lev Phys","24 Jul 2006",""
"B0230183","GCE A Level Polymer Science/Technology","GCE A Lev Polymer Sci/ Tech","24 Jul 2006",""
"B0230184","GCE A Level Psychology","GCE A Lev Psych","24 Jul 2006",""
"B0230185","GCE A Level Science","GCE A Lev Sci","24 Jul 2006",""
"B0230186","GCE A Level Science And Technology (General)","GCE A Lev Sci & Tech (Gen)","24 Jul 2006",""
"B0230187","GCE A Level Social & Environmental Biology","GCE A Lev Soc & Enval Biol","24 Jul 2006",""
"B0230189","GCE A Level Soil Science","GCE A Lev Soil Sci","24 Jul 2006",""
"B0230190","GCE A Level Statistics","GCE A Lev Stats","24 Jul 2006",""
"B0230191","GCE A Level Zoology","GCE A Lev Zoology","24 Jul 2006",""
"B0230192","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0230193","GCE A2 Level Biology","GCE A2 Lev Biol","24 Jul 2006",""
"B0230195","GCE A2 Level Chemistry","GCE A2 Lev Chem","24 Jul 2006",""
"B0230196","GCE A2 Level Environmental Science","GCE A2 Lev Enval Sci","24 Jul 2006",""
"B0230197","GCE A2 Level Geology","GCE A2 Lev Geology","24 Jul 2006",""
"B0230198","GCE A2 Level Mathematics","GCE A2 Lev Maths","24 Jul 2006",""
"B0230199","GCE A2 Level Physics","GCE A2 Lev Phys","24 Jul 2006",""
"B0230201","GCE A2 Level Psychology","GCE A2 Lev Psych","24 Jul 2006",""
"B0230202","GCE A2 Level Science","GCE A2 Lev Sci","24 Jul 2006",""
"B0230204","GCE A2 Level","GCE A2 Lev","24 Jul 2006","30 Sep 2014"
"B0230205","GCE AS Level Applied Life Sciences","GCE AS Lev Applied Life Scis","24 Jul 2006",""
"B0230206","GCE AS Level Applied Mathematics","GCE AS Lev Applied Maths","24 Jul 2006",""
"B0230207","GCE AS Level Applied Statistics","GCE AS Lev Applied Stats","24 Jul 2006",""
"B0230208","GCE AS Level Astronomy","GCE AS Lev Astron","24 Jul 2006",""
"B0230209","GCE AS Level Biochemistry","GCE AS Lev BioChem","24 Jul 2006",""
"B0230210","GCE AS Level Biology","GCE AS Lev Biol","24 Jul 2006",""
"B0230211","GCE AS Level Botany","GCE AS Lev Botany","24 Jul 2006",""
"B0230212","GCE AS Level Chemistry","GCE AS Lev Chem","24 Jul 2006",""
"B0230213","GCE AS Level Earth Sciences:General","GCE AS Lev Earth ScisGen","24 Jul 2006",""
"B0230214","GCE AS Level Environmental Science","GCE AS Lev Enval Sci","24 Jul 2006",""
"B0230215","GCE AS Level Further Mathematics","GCE AS Lev Further Maths","24 Jul 2006",""
"B0230216","GCE AS Level Geochemistry","GCE AS Lev GeoChem","24 Jul 2006",""
"B0230217","GCE AS Level Geology","GCE AS Lev Geology","24 Jul 2006",""
"B0230218","GCE AS Level Geophysics","GCE AS Lev GeoPhys","24 Jul 2006",""
"B0230219","GCE AS Level Human Biology","GCE AS Lev Human Biol","24 Jul 2006",""
"B0230220","GCE AS Level Hydrology","GCE AS Lev Hydrology","24 Jul 2006",""
"B0230221","GCE AS Level in Mathematics","GCE AS Lev in Maths","24 Jul 2006",""
"B0230224","GCE AS Level Mathematics (Pure)","GCE AS Lev Maths (Pure)","24 Jul 2006",""
"B0230227","GCE AS Level Mechanics","GCE AS Lev Mechanics","24 Jul 2006",""
"B0230228","GCE AS Level Meteorology","GCE AS Lev Meteorology","24 Jul 2006",""
"B0230229","GCE AS Level Natural History","GCE AS Lev Ntrl Hist","24 Jul 2006",""
"B0230230","GCE AS Level Oceanography","GCE AS Lev OceanoGrphy","24 Jul 2006",""
"B0230231","GCE AS Level Physics","GCE AS Lev Phys","24 Jul 2006",""
"B0230232","GCE AS Level Polymer Science/Technology","GCE AS Lev Polymer Sci/ Tech","24 Jul 2006",""
"B0230233","GCE AS Level Psychology","GCE AS Lev Psych","24 Jul 2006",""
"B0230234","GCE AS Level Science","GCE AS Lev Sci","24 Jul 2006",""
"B0230235","GCE AS Level Science And Technology (General)","GCE AS Lev Sci & Tech (Gen)","24 Jul 2006",""
"B0230236","GCE AS Level Soil Science","GCE AS Lev Soil Sci","24 Jul 2006",""
"B0230237","GCE AS Level Statistics","GCE AS Lev Stats","24 Jul 2006",""
"B0230239","GCE AS Level Zoology","GCE AS Lev Zoology","24 Jul 2006",""
"B0230336","GCE A Level in Applied Science","GCE A Lev in Applied Sci","24 Jul 2006",""
"B0230337","GCE A Level in Psychology","GCE A Lev in Psych","24 Jul 2006",""
"B0230338","GCE A2 Level in Applied Science","GCE A2 Lev in Applied Sci","24 Jul 2006",""
"B0230339","GCE A2 Level in Biology (Salters Nuffield)","GCE A2 Lev in Biol (Salters Nuffield)","24 Jul 2006",""
"B0230341","GCE A2 Level in Statistics","GCE A2 Lev in Stats","24 Jul 2006",""
"B0230356","GCE A Level in Science in Society","GCE A Lev in Sci in Soc","11 Dec 2008",""
"B0230357","GCE A Level in Environmental Studies","GCE A Lev in Enval Stud","11 Dec 2008",""
"B0230358","GCE A2 Level in Further Mathematics","GCE A2 Lev in Further Maths","11 Sep 2009",""
"B0230359","GCE A2 Level in Human Biology","GCE A2 Lev in Human Biol","11 Sep 2009",""
"B0230360","GCE A2 Level in Pure Mathematics","GCE A2 Lev in Pure Maths","11 Sep 2009",""
"B0230361","GCE A2 Level in Science in Society","GCE A2 Lev in Sci in Soc","11 Sep 2009",""
"B0230362","Advanced Diploma in Science (14-19 Diploma)","Adv Dip Sci (14-19 Dip)","01 Nov 2010",""
"B0230363","Progression Diploma in Science (14-19 Diploma)","Prg Dip Sci (14-19 Dip)","01 Nov 2010",""
"B0230364","Principal Learning in Science (14-19 Diploma)","Principal Lrn in Sci (14-19 Dip)","01 Nov 2010",""
"B0310115","Principal Learning in Environmental and Land Based Studies (Level 1) (14-19 Diploma)","Principal Lrn in Enval & Land Based Stud (Lev 1) (14-19 Dip)","24 Sep 2009",""
"B0310116","Foundation Diploma in Environmental and Land Based Studies (14-19 Diploma)","Fnd Dip Enval & Land Based Stud (14-19 Dip)","01 Sep 2010",""
"B0320247","GCSE Technology and the Environment (Derby)","GCSE Tech & the Env (Derby)","24 Jul 2006",""
"B0320251","GCSE Science","GCSE Sci","24 Jul 2006",""
"B0320252","GCSE Agriculture","GCSE Agric","24 Jul 2006",""
"B0320253","GCSE Rural Science","GCSE Rural Sci","24 Jul 2006",""
"B0320254","GCSE Horticulture","GCSE Horticult","24 Jul 2006",""
"B0320256","GCSE Animal Husbandry","GCSE Animal Husbandry","24 Jul 2006",""
"B0320257","GCSE Cleansing","GCSE Clns","24 Jul 2006",""
"B0320258","GCSE Crop Production","GCSE Crop Prod","24 Jul 2006",""
"B0320259","GCSE Ecology","GCSE Ecology","24 Jul 2006",""
"B0320260","GCSE Energy Economics/Management/Conservation","GCSE Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0320261","GCSE Environment","GCSE Env","24 Jul 2006",""
"B0320264","GCSE Fish Production/Fisheries","GCSE Fish Prod/ Fisheries","24 Jul 2006",""
"B0320265","GCSE Forestry/Timber Production","GCSE Frst/ Timber Prod","24 Jul 2006",""
"B0320266","GCSE Gardening/Floristry/Plant Sales","GCSE Grdn/ Flrst/ Plant Sales","24 Jul 2006",""
"B0320267","GCSE Pets/Domestic Animal Care","GCSE Pets/ Dom Animal Cr","24 Jul 2006",""
"B0320268","GCSE Pollution/Pollution Control","GCSE Poll/ Poll Cont","24 Jul 2006",""
"B0320269","GCSE Rural/Agricultural Business Organisation","GCSE Rural/ Agric Bus Org","24 Jul 2006",""
"B0320270","GCSE Veterinary Services","GCSE Vet Svc","24 Jul 2006",""
"B0320408","GCSE Farm Studies","GCSE Farm Stud","24 Jul 2006",""
"B0320409","GCSE Horsemastership","GCSE HorseMastship","24 Jul 2006",""
"B0320410","GCSE Ornithology","GCSE Ornithology","24 Jul 2006",""
"B0320411","GCSE","GCSE","24 Jul 2006","30 Sep 2014"
"B0320444","Principal Learning in Environmental and Land Based Studies (Level 2) (14-19 Diploma)","Principal Lrn in Enval & Land Based Stud (Lev 2) (14-19 Dip)","24 Sep 2009",""
"B0320445","Higher Diploma in Environmental and Land Based Studies","Hi Dip Enval & Land Based Stud","01 Sep 2010",""
"B0330078","GCE A Level Cleansing","GCE A Lev Clns","24 Jul 2006",""
"B0330142","GCE A Level Agricultural Engineering/Farm Machinery","GCE A Lev Agric Engnr/ Farm Mach","24 Jul 2006",""
"B0330143","GCE A Level Agricultural Sciences","GCE A Lev Agric Scis","24 Jul 2006",""
"B0330144","GCE A Level Agricultural/Horticultural Maintenance","GCE A Lev Agric/ Hort Maint","24 Jul 2006",""
"B0330145","GCE A Level Agriculture/Horticulture (General)","GCE A Lev Agric/ Horticult (Gen)","24 Jul 2006",""
"B0330146","GCE A Level Amenity Horticulture/Sportsgrounds","GCE A Lev Amn Horticult/ Sprtgrnd","24 Jul 2006",""
"B0330147","GCE A Level Animal Husbandry","GCE A Lev Animal Husbandry","24 Jul 2006",""
"B0330148","GCE A Level Crop Production","GCE A Lev Crop Prod","24 Jul 2006",""
"B0330149","GCE A Level Crop Protection/Fertilisers/Byproducts","GCE A Lev Crop Prtct/ Frtlsrs/ Byprod","24 Jul 2006",""
"B0330150","GCE A Level Ecology","GCE A Lev Ecology","24 Jul 2006",""
"B0330151","GCE A Level Energy Economics/Management/Conservation","GCE A Lev Energy Econ/ Mngm/ Cnsv","24 Jul 2006",""
"B0330152","GCE A Level Environmental Science","GCE A Lev Enval Sci","24 Jul 2006",""
"B0330153","GCE A Level Fish Production/Fisheries","GCE A Lev Fish Prod/ Fisheries","24 Jul 2006",""
"B0330154","GCE A Level Forestry/Timber Production","GCE A Lev Frst/ Timber Prod","24 Jul 2006",""
"B0330155","GCE A Level Gardening/Floristry/Plant Sales","GCE A Lev Grdn/ Flrst/ Plant Sales","24 Jul 2006",""
"B0330156","GCE A Level Pets/Domestic Animal Care","GCE A Lev Pets/ Dom Animal Cr","24 Jul 2006",""
"B0330157","GCE A Level Pollution/Pollution Control","GCE A Lev Poll/ Poll Cont","24 Jul 2006",""
"B0330158","GCE A Level Rural/Agricultural Business Organisation","GCE A Lev Rural/ Agric Bus Org","24 Jul 2006",""
"B0330159","GCE A Level Veterinary Services","GCE A Lev Vet Svc","24 Jul 2006",""
"B0330160","GCE A Level","GCE A Lev","24 Jul 2006","30 Sep 2014"
"B0330161","GCE AS Level Agricultural Engineering/Farm Machinery","GCE AS Lev Agric Engnr/ Farm Mach","24 Jul 2006",""
"B0330162","GCE AS Level Agricultural Sciences","GCE AS Lev Agric Scis","24 Jul 2006",""
