"LearnAimRef","EffectiveFrom","EffectiveTo","Section96ApprovalStatus","Section96ApprovalStartDate","Section96ReviewDate","Section96ValidPre16","Section96Valid16to18","Section96Valid18plus","Created_On","Created_By","Modified_On","Modified_By"
"50080805","01 Aug 2014","","1","15 Mar 2010","31 Jul 2021","1","1","0","11 Mar 2015","bywatera","24 Apr 2020","SGUINIVAN"
"50080817","01 Aug 2014","","1","01 Jan 2014","31 Jul 2021","0","0","1","24 Jun 2014","robinsonsar","17 Apr 2020","KTEMPERLEY"
"50080830","01 Aug 2014","","1","01 Aug 2010","31 Jul 2021","1","1","0","24 Jun 2014","robinsonsar","19 Mar 2019","SGUINIVAN"
"50080842","01 Aug 2014","","1","01 Sep 2010","31 Jul 2021","1","1","-2","24 Jun 2014","robinsonsar","22 Mar 2020","SGUINIVAN"
"50080854","01 Aug 2013","","1","15 Feb 2010","25 May 2017","0","1","0","03 Feb 2014","suttonf","15 Jun 2017","fisherk"
"50080891","01 Aug 2014","","1","21 Jun 2010","31 Dec 2012","0","1","0","24 Jun 2014","robinsonsar","16 Feb 2017","bywatera"
"50080908","01 Aug 2014","","11","07 Jun 2010","31 Mar 2013","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"5008091X","01 Aug 2014","","11","01 Aug 2010","31 Dec 2011","0","1","0","24 Jun 2014","robinsonsar","24 Jun 2014","robinsonsar"
"50080921","01 Aug 2014","","1","29 Mar 2010","31 Aug 2015","0","1","0","24 Jun 2014","robinsonsar","12 Aug 2015","bywatera"
"50080933","01 Aug 2013","","1","01 Feb 2010","31 Dec 2013","0","1","0","03 Feb 2014","suttonf","16 Dec 2016","bywatera"
